,TeamName,Link,Country
0,KF Tirana,/wiki/KF_Tirana,Albania
1,KF Laçi,/wiki/KF_La%C3%A7i,Albania
2,FK Partizani Tirana,/wiki/FK_Partizani_Tirana,Albania
3,FK Kukësi,/wiki/FK_Kuk%C3%ABsi,Albania
4,KF Vllaznia Shkodër,/wiki/KF_Vllaznia_Shkod%C3%ABr,Albania
5,KF Teuta Durrës,/wiki/KF_Teuta_Durr%C3%ABs,Albania
6,KS Kastrioti,/wiki/KS_Kastrioti,Albania
7,KF Egnatia,/wiki/KF_Egnatia,Albania
8,FK Dinamo Tirana,/wiki/FK_Dinamo_Tirana,Albania
9,KF Skënderbeu Korçë,/wiki/KF_Sk%C3%ABnderbeu_Kor%C3%A7%C3%AB,Albania
10,Inter Club d'Escaldes,/wiki/Inter_Club_d%27Escaldes,Andorra
11,UE Santa Coloma,/wiki/UE_Santa_Coloma,Andorra
12,UE Sant Julià,/wiki/UE_Sant_Juli%C3%A0,Andorra
13,Atlètic Club d'Escaldes,/wiki/Atl%C3%A8tic_Club_d%27Escaldes,Andorra
14,FC Santa Coloma,/wiki/FC_Santa_Coloma,Andorra
15,FC Ordino,/wiki/FC_Ordino,Andorra
16,UE Engordany,/wiki/UE_Engordany,Andorra
17,CE Carroi,/wiki/CE_Carroi,Andorra
18,FC Pyunik,/wiki/FC_Pyunik,Armenia
19,FC Ararat-Armenia,/wiki/FC_Ararat-Armenia,Armenia
20,FC Alashkert,/wiki/FC_Alashkert,Armenia
21,FC Ararat Yerevan,/wiki/FC_Ararat_Yerevan,Armenia
22,FC Urartu,/wiki/FC_Urartu,Armenia
23,FC Noah,/wiki/FC_Noah,Armenia
24,Noravank SC,/wiki/Noravank_SC,Armenia
25,FC Van,/wiki/FC_Van,Armenia
26,BKMA Yerevan,/wiki/BKMA_Yerevan,Armenia
27,Sevan FC,/wiki/Sevan_FC,Armenia
28,FC Red Bull Salzburg,/wiki/FC_Red_Bull_Salzburg,Austria
29,SK Sturm Graz,/wiki/SK_Sturm_Graz,Austria
30,Wolfsberger AC,/wiki/Wolfsberger_AC,Austria
31,FK Austria Wien,/wiki/FK_Austria_Wien,Austria
32,SK Rapid Wien,/wiki/SK_Rapid_Wien,Austria
33,SV Ried,/wiki/SV_Ried,Austria
34,LASK,/wiki/LASK,Austria
35,WSG Tirol,/wiki/WSG_Tirol,Austria
36,TSV Hartberg,/wiki/TSV_Hartberg,Austria
37,FC Admira Wacker Mödling,/wiki/FC_Admira_Wacker_M%C3%B6dling,Austria
38,SC Rheindorf Altach,/wiki/SC_Rheindorf_Altach,Austria
39,Qarabağ FK,/wiki/Qaraba%C4%9F_FK,Azerbaijan
40,Neftçi PFK,/wiki/Neft%C3%A7i_PFK,Azerbaijan
41,Zira FK,/wiki/Zira_FK,Azerbaijan
42,Gabala FK,/wiki/Gabala_FK,Azerbaijan
43,Sabah FC (Azerbaijan),/wiki/Sabah_FC_(Azerbaijan),Azerbaijan
44,Sumgayit FK,/wiki/Sumgayit_FK,Azerbaijan
45,Shamakhi FK,/wiki/Shamakhi_FK,Azerbaijan
46,Sabail FK,/wiki/Sabail_FK,Azerbaijan
47,FC Shakhtyor Soligorsk,/wiki/FC_Shakhtyor_Soligorsk,Belarus
48,FC BATE Borisov,/wiki/FC_BATE_Borisov,Belarus
49,FC Dinamo Minsk,/wiki/FC_Dinamo_Minsk,Belarus
50,FC Gomel,/wiki/FC_Gomel,Belarus
51,FC Rukh Brest,/wiki/FC_Rukh_Brest,Belarus
52,FC Dynamo Brest,/wiki/FC_Dynamo_Brest,Belarus
53,FC Vitebsk,/wiki/FC_Vitebsk,Belarus
54,FC Torpedo-BelAZ Zhodino,/wiki/FC_Torpedo-BelAZ_Zhodino,Belarus
55,FC Slutsk,/wiki/FC_Slutsk,Belarus
56,FC Isloch Minsk Raion,/wiki/FC_Isloch_Minsk_Raion,Belarus
57,FC Neman Grodno,/wiki/FC_Neman_Grodno,Belarus
