,TeamName,Link,Country,ID,Name,City,iso,lat,lon
0,KF Tirana,/wiki/KF_Tirana,Albania,1328,KF Tirana,Tirana,AL,41.3305141,19.825562857582966
1,KF Laçi,/wiki/KF_La%C3%A7i,Albania,1579,KF Laçi,Laç,AL,41.635741,19.7123916
3,FK Kukësi,/wiki/FK_Kuk%C3%ABsi,Albania,2263,FK Kukësi,Kukës,AL,42.07271955,20.42116318132266
4,KF Vllaznia Shkodër,/wiki/KF_Vllaznia_Shkod%C3%ABr,Albania,1372,KF Vllaznia,Shkodër,AL,42.0681371,19.5121437
5,KF Teuta Durrës,/wiki/KF_Teuta_Durr%C3%ABs,Albania,1328,KF Tirana,Tirana,AL,41.3305141,19.825562857582966
6,KS Kastrioti,/wiki/KS_Kastrioti,Albania,1580,KS Kastrioti,Krujë,AL,41.508936750000004,19.781380171668477
7,KF Egnatia,/wiki/KF_Egnatia,Albania,5745,KF Egnatia,Rrogozhinë,AL,41.0758988,19.6649775
8,FK Dinamo Tirana,/wiki/FK_Dinamo_Tirana,Albania,1345,Dinamo Tirana,Tirana,AL,41.3305141,19.825562857582966
9,KF Skënderbeu Korçë,/wiki/KF_Sk%C3%ABnderbeu_Kor%C3%A7%C3%AB,Albania,1328,KF Tirana,Tirana,AL,41.3305141,19.825562857582966
10,Inter Club d'Escaldes,/wiki/Inter_Club_d%27Escaldes,Andorra,5071,Inter Club d'Escaldes,Escaldes-Engordany,AD,42.48691275,1.6070001140292214
12,UE Sant Julià,/wiki/UE_Sant_Juli%C3%A0,Andorra,3961,UE Sant Julià,Sant Julia de Loria,AD,42.46671695,1.4963449774456519
14,FC Santa Coloma,/wiki/FC_Santa_Coloma,Andorra,3196,FC Santa Coloma,Santa Coloma,AD,42.4949956,1.4997052
15,FC Ordino,/wiki/FC_Ordino,Andorra,4014,FC Ordino,Ordino,AD,42.55615,1.5334945
16,UE Engordany,/wiki/UE_Engordany,Andorra,5788,UE Engordany,Escaldes-Engordany,AD,42.48691275,1.6070001140292214
18,FC Pyunik,/wiki/FC_Pyunik,Armenia,1491,FC Pyunik,Yerevan,AM,40.1776245,44.5126174
19,FC Ararat-Armenia,/wiki/FC_Ararat-Armenia,Armenia,5276,FC Ararat-Armenia,Yerevan,AM,40.1776245,44.5126174
20,FC Alashkert,/wiki/FC_Alashkert,Armenia,2570,FC Alashkert,Martuni,AM,40.1390478,45.3054735
21,FC Ararat Yerevan,/wiki/FC_Ararat_Yerevan,Armenia,1885,FC Ararat,Yerevan,AM,40.1776245,44.5126174
22,FC Urartu,/wiki/FC_Urartu,Armenia,1439,FC Urartu,Yerevan,AM,40.1776245,44.5126174
23,FC Noah,/wiki/FC_Noah,Armenia,5277,FC Noah,Yerevan,AM,40.1776245,44.5126174
24,Noravank SC,/wiki/Noravank_SC,Armenia,5727,Noravank SC,Vayk,AM,39.6939049,45.4565871
25,FC Van,/wiki/FC_Van,Armenia,5726,FC Van,Charentsavan,AM,40.4029877,44.6469349
26,BKMA Yerevan,/wiki/BKMA_Yerevan,Armenia,5725,BKMA Yerevan,Yerevan,AM,40.1776245,44.5126174
27,Sevan FC,/wiki/Sevan_FC,Armenia,5334,Sevan FC,Yerevan,AM,40.1776245,44.5126174
29,SK Sturm Graz,/wiki/SK_Sturm_Graz,Austria,358,SK Sturm Graz,Graz,AT,47.0708678,15.4382786
30,Wolfsberger AC,/wiki/Wolfsberger_AC,Austria,1835,Wolfsberger AC,Wolfsberg,AT,46.8390583,14.8452061
31,FK Austria Wien,/wiki/FK_Austria_Wien,Austria,539,FK Austria Wien,Vienna,AT,48.2083537,16.3725042
32,SK Rapid Wien,/wiki/SK_Rapid_Wien,Austria,357,SK Rapid Wien,Vienna,AT,48.2083537,16.3725042
33,SV Ried,/wiki/SV_Ried,Austria,541,SV Ried,Ried im Innkreis,AT,48.2085868,13.48839
35,WSG Tirol,/wiki/WSG_Tirol,Austria,3161,WSG Tirol,Wattens,AT,47.2935786,11.5907326
36,TSV Hartberg,/wiki/TSV_Hartberg,Austria,2094,TSV Hartberg,Hartberg,AT,47.2809371,15.9691769
37,FC Admira Wacker Mödling,/wiki/FC_Admira_Wacker_M%C3%B6dling,Austria,636,FC Admira,Mödling,AT,48.0855922,16.2833526
39,Qarabağ FK,/wiki/Qaraba%C4%9F_FK,Azerbaijan,2603,Qaradağ FK,Lökbatan,AZ,40.3252712,49.7308819
40,Neftçi PFK,/wiki/Neft%C3%A7i_PFK,Azerbaijan,1342,Neftçi,Baku,AZ,40.3755885,49.8328009
41,Zira FK,/wiki/Zira_FK,Azerbaijan,3898,Zira FK,Baku,AZ,40.3755885,49.8328009
44,Sumgayit FK,/wiki/Sumgayit_FK,Azerbaijan,2258,Sumqayit FK,Sumqayit,AZ,40.5961666,49.6695971
46,Sabail FK,/wiki/Sabail_FK,Azerbaijan,4850,Sebail FK,Baku,AZ,40.3755885,49.8328009
47,FC Shakhtyor Soligorsk,/wiki/FC_Shakhtyor_Soligorsk,Belarus,1112,Shakhtyor Soligorsk,Soligorsk,BY,52.7893039,27.5318168
48,FC BATE Borisov,/wiki/FC_BATE_Borisov,Belarus,1105,BATE,Borisov,BY,54.2240665,28.5117849
49,FC Dinamo Minsk,/wiki/FC_Dinamo_Minsk,Belarus,1119,Dinamo Minsk,Minsk,BY,53.9024716,27.5618225
50,FC Gomel,/wiki/FC_Gomel,Belarus,1107,Gomel,Gomel,BY,52.4238936,31.0131698
51,FC Rukh Brest,/wiki/FC_Rukh_Brest,Belarus,5522,Rukh Brest,Brest,BY,52.093751,23.6851851
53,FC Vitebsk,/wiki/FC_Vitebsk,Belarus,1121,FC Vitebsk,Vitebsk,BY,55.1930197,30.2070437
55,FC Slutsk,/wiki/FC_Slutsk,Belarus,2708,FC Slutsk,Slutsk,BY,53.0277354,27.5519747
56,FC Isloch Minsk Raion,/wiki/FC_Isloch_Minsk_Raion,Belarus,4329,Isloch Minsk Raion,Minsk,BY,53.9024716,27.5618225
57,FC Neman Grodno,/wiki/FC_Neman_Grodno,Belarus,1106,Neman Grodno,Grodno,BY,53.6834599,23.8342648
58,FC Minsk,/wiki/FC_Minsk,Belarus,1114,FC Minsk,Minsk,BY,53.9024716,27.5618225
59,FC Energetik-BGU Minsk,/wiki/FC_Energetik-BGU_Minsk,Belarus,5305,Energetik-BGU Minsk,Minsk,BY,53.9024716,27.5618225
60,FC Slavia Mozyr,/wiki/FC_Slavia_Mozyr,Belarus,2237,Slavia Mozyr,Mozyr,BY,52.0475464,29.2667179
61,FC Smorgon,/wiki/FC_Smorgon,Belarus,1111,Smorgon,Smarhon,BY,54.4817816,26.4012822
63,Royale Union Saint-Gilloise,/wiki/Royale_Union_Saint-Gilloise,Belgium,2606,Union Saint-Gilloise,Saint-Gilles,BE,50.8249958,4.3454841
64,Club Brugge KV,/wiki/Club_Brugge_KV,Belgium,354,Club Brugge KV,Bruges,BE,51.2085526,3.226772
65,R.S.C. Anderlecht,/wiki/R.S.C._Anderlecht,Belgium,353,RSC Anderlecht,Brussels,BE,50.8465573,4.351697
66,Royal Antwerp F.C.,/wiki/Royal_Antwerp_F.C.,Belgium,1560,Royal Antwerp,Antwerp,BE,51.2211097,4.3997081
69,K.V. Mechelen,/wiki/K.V._Mechelen,Belgium,1188,KV Mechelen,Antwerp,BE,51.2211097,4.3997081
71,Sint-Truidense V.V.,/wiki/Sint-Truidense_V.V.,Belgium,594,Sint-Truidense VV,Sint-Truiden,BE,50.82694775,5.203424911603399
72,Cercle Brugge K.S.V.,/wiki/Cercle_Brugge_K.S.V.,Belgium,593,Cercle Brugge,Bruges,BE,51.2085526,3.226772
73,Oud-Heverlee Leuven,/wiki/Oud-Heverlee_Leuven,Belgium,1701,OH Leuven,Leuven,BE,50.879202,4.7011675
